TimesheetID,ProjectID,EmployeeID,WorkDate,HoursWorked
1,20,43,2026-03-15,2.8
2,17,36,2025-10-31,4.1
3,20,26,2025-10-24,7.9
4,14,50,2025-11-05,4.2
5,16,31,2026-02-28,3.7
6,7,44,2025-12-23,3.6
7,20,48,2026-03-08,8.8
8,11,27,2026-02-03,5.9
9,7,12,2025-10-10,2.7
10,1,35,2026-01-13,8.6
11,13,16,2025-10-08,2.0
12,11,7,2025-10-30,7.1
13,12,44,2025-12-03,3.3
14,18,19,2026-01-18,6.4
15,5,12,2026-01-14,6.5
16,12,26,2025-10-25,2.6
17,8,43,2026-03-22,9.2
18,14,27,2026-02-13,2.3
19,13,28,2025-12-30,6.7
20,6,11,2025-11-03,5.4
21,10,8,2025-10-07,4.5
22,4,43,2025-10-07,9.2
23,13,44,2025-11-19,7.5
24,8,33,2026-03-16,2.8
25,7,24,2026-02-17,9.1
26,1,26,2026-01-09,9.8
27,16,36,2025-11-05,9.4
28,3,38,2025-11-26,8.9
29,16,46,2025-11-11,9.1
30,1,41,2025-10-03,3.4
31,16,31,2025-12-21,8.3
32,2,46,2026-01-10,8.4
33,3,24,2025-11-29,4.1
34,15,27,2026-03-25,2.9
35,3,43,2025-10-06,8.9
36,18,47,2025-11-22,3.6
37,5,24,2026-01-22,4.8
38,18,45,2025-11-24,3.8
39,8,11,2026-03-14,3.5
40,8,49,2025-12-20,4.2
41,5,29,2025-10-14,9.7
42,4,29,2025-12-07,4.8
43,11,17,2026-02-04,5.2
44,4,43,2026-02-11,4.6
45,10,6,2025-10-04,2.9
46,5,15,2025-12-02,3.4
47,9,30,2025-12-03,2.3
48,5,19,2026-02-26,5.5
49,14,13,2025-12-16,5.5
50,16,3,2026-02-04,2.9
51,2,43,2026-02-21,3.5
52,6,10,2025-10-08,7.7
53,12,28,2025-09-27,6.2
54,2,40,2026-02-11,7.5
55,19,18,2026-03-17,3.6
56,6,43,2026-01-15,2.6
57,9,9,2026-03-16,9.4
58,12,12,2026-03-05,4.5
59,7,48,2025-10-28,7.8
60,13,18,2025-12-12,6.1
61,8,20,2026-03-16,5.3
62,20,42,2026-01-08,7.6
63,1,39,2026-02-15,3.0
64,12,9,2026-01-12,7.3
65,16,6,2026-01-02,7.4
66,2,28,2025-11-10,6.9
67,19,8,2025-12-13,5.2
68,3,38,2025-09-27,4.4
69,1,43,2025-11-19,5.4
70,15,1,2026-02-22,6.9
71,10,13,2025-12-18,5.7
72,7,41,2026-01-18,7.4
73,3,6,2026-02-04,5.8
74,11,24,2025-11-09,7.3
75,14,5,2025-12-08,6.1
76,4,7,2026-03-08,7.0
77,7,7,2025-10-20,8.5
78,6,4,2025-11-26,7.4
79,10,35,2025-11-23,8.5
80,17,19,2025-11-03,2.2
81,6,20,2025-11-28,9.9
82,3,32,2026-03-02,8.8
83,3,33,2025-10-15,5.6
84,7,3,2026-03-07,6.6
85,7,43,2026-03-24,5.1
86,15,44,2026-01-07,4.0
87,18,5,2026-03-13,7.5
88,12,43,2025-10-24,8.2
89,10,22,2025-11-22,3.4
90,2,29,2026-03-24,6.1
91,6,38,2025-10-09,6.5
92,10,12,2025-10-28,5.7
93,6,46,2026-01-23,7.3
94,20,50,2026-02-17,6.8
95,5,37,2026-01-18,6.9
96,8,10,2026-02-03,5.4
97,7,24,2026-02-14,5.6
98,4,35,2025-11-06,7.9
99,12,3,2026-01-26,5.6
100,2,24,2025-11-29,8.7
101,20,19,2025-12-06,8.1
102,4,45,2026-02-07,5.9
103,5,24,2025-11-27,4.2
104,8,5,2025-10-16,7.7
105,8,32,2025-11-26,4.2
106,1,33,2025-12-17,9.1
107,14,28,2025-10-17,3.1
108,13,10,2025-11-25,5.1
109,20,28,2025-11-05,7.7
110,17,41,2025-10-13,5.3
111,2,13,2025-12-20,6.3
112,3,23,2026-01-11,2.5
113,17,17,2026-01-12,5.1
114,9,4,2026-02-23,9.6
115,12,7,2025-10-02,8.9
116,18,45,2026-02-21,5.0
117,13,14,2025-09-28,9.5
118,6,34,2025-12-12,8.0
119,6,30,2026-01-12,6.3
120,11,42,2026-02-13,8.4
121,1,34,2025-11-22,5.9
122,5,30,2025-12-05,5.5
123,5,4,2025-10-04,5.1
124,17,17,2026-03-17,7.4
125,8,22,2026-01-08,7.8
126,13,6,2026-01-24,9.4
127,15,42,2026-03-05,6.3
128,1,47,2026-01-05,6.7
129,16,33,2026-03-15,2.2
130,14,43,2026-03-10,5.4
131,18,21,2026-01-23,3.5
132,4,41,2025-12-02,5.0
133,17,21,2025-11-20,5.6
134,17,44,2025-12-22,8.1
135,16,36,2026-01-02,4.2
136,6,41,2026-01-12,4.0
137,11,28,2025-10-17,5.8
138,16,47,2026-02-12,2.4
139,16,11,2025-12-25,3.8
140,16,27,2025-10-14,8.2
141,16,7,2026-03-12,2.3
142,15,44,2025-10-04,9.6
143,20,49,2025-11-17,8.7
144,6,17,2026-03-05,3.2
145,2,7,2025-10-29,5.8
146,13,6,2025-10-26,6.5
147,15,34,2025-11-21,5.7
148,4,4,2025-12-01,8.1
149,8,48,2025-11-08,6.8
150,5,40,2025-10-26,8.2
151,18,16,2025-11-07,9.7
152,10,48,2025-10-24,6.6
153,4,25,2025-12-15,6.6
154,6,2,2026-01-01,5.2
155,5,48,2025-11-16,2.6
156,4,45,2026-03-22,8.6
157,10,25,2025-11-28,2.8
158,10,15,2025-12-13,8.8
159,20,14,2026-02-27,8.4
160,4,47,2026-02-18,8.3
161,11,41,2025-12-24,6.3
